date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
121231 | 1212
fdfds | 152313
11-11-2011 | 42
ffff-ff-ff | 
2012-01-11 |
2012-01-11
           | 42
| 42
|
2000-01-01 | 1
2010-99-10 | 4
2010-10-34 | 2
2042-11-31 | .
2042-02-30 | .
2012-01-02 | 0.         
2012-01-02 | 1.5 
2012-01-02 | fds
            2012-01-02       |1.f
2012-01-02 | .1.5
2012-01-02 | 1.1.5
2009-01-02 | 1
2009-01-01 | 1
2009-01-02 | 1
2009-01-03 | 1
2011-01-07 | 10
2022-03-26 | 1
2022-03-29 | 1
2022-03-30 | 1
